GEOID,NAME,variable,estimate,moe,High_Error
2572600,"Waltham city, Massachusetts",B25024_009,2485,353,FALSE
2578972,"Weymouth Town city, Massachusetts",B25024_009,2573,401,FALSE
2582000,"Worcester city, Massachusetts",B25024_009,8187,753,FALSE
2603000,"Ann Arbor city, Michigan",B25024_009,5573,495,FALSE
2605920,"Battle Creek city, Michigan",B25024_009,1578,352,FALSE
2621000,"Dearborn city, Michigan",B25024_009,2263,339,FALSE
2621020,"Dearborn Heights city, Michigan",B25024_009,557,264,TRUE
2622000,"Detroit city, Michigan",B25024_009,29819,1163,FALSE
2627440,"Farmington Hills city, Michigan",B25024_009,1655,342,FALSE
2629000,"Flint city, Michigan",B25024_009,1459,257,FALSE
2634000,"Grand Rapids city, Michigan",B25024_009,7569,683,FALSE
2642160,"Kalamazoo city, Michigan",B25024_009,2052,389,FALSE
2642820,"Kentwood city, Michigan",B25024_009,1044,285,FALSE
2646000,"Lansing city, Michigan",B25024_009,3163,388,FALSE
2649000,"Livonia city, Michigan",B25024_009,744,134,FALSE
2659440,"Novi city, Michigan",B25024_009,1861,310,FALSE
2665440,"Pontiac city, Michigan",B25024_009,2007,485,FALSE
2669035,"Rochester Hills city, Michigan",B25024_009,1230,239,FALSE
2670040,"Royal Oak city, Michigan",B25024_009,1260,214,FALSE
2670760,"St. Clair Shores city, Michigan",B25024_009,520,137,FALSE
2674900,"Southfield city, Michigan",B25024_009,6466,548,FALSE
2676460,"Sterling Heights city, Michigan",B25024_009,2864,507,FALSE
2679000,"Taylor city, Michigan",B25024_009,526,126,FALSE
2680700,"Troy city, Michigan",B25024_009,1486,382,FALSE
2684000,"Warren city, Michigan",B25024_009,1235,237,FALSE
2686000,"Westland city, Michigan",B25024_009,2034,300,FALSE
2688940,"Wyoming city, Michigan",B25024_009,1211,316,FALSE
2701900,"Apple Valley city, Minnesota",B25024_009,2147,251,FALSE
2706382,"Blaine city, Minnesota",B25024_009,907,177,FALSE
2706616,"Bloomington city, Minnesota",B25024_009,7093,633,FALSE
2707966,"Brooklyn Park city, Minnesota",B25024_009,4216,645,FALSE
2708794,"Burnsville city, Minnesota",B25024_009,4939,396,FALSE
2713114,"Coon Rapids city, Minnesota",B25024_009,2004,356,FALSE
2717000,"Duluth city, Minnesota",B25024_009,3568,391,FALSE
2717288,"Eagan city, Minnesota",B25024_009,4120,397,FALSE
2718116,"Eden Prairie city, Minnesota",B25024_009,2965,362,FALSE
2718188,"Edina city, Minnesota",B25024_009,5866,446,FALSE
2735180,"Lakeville city, Minnesota",B25024_009,804,205,FALSE
2740166,"Maple Grove city, Minnesota",B25024_009,2012,377,FALSE
2743000,"Minneapolis city, Minnesota",B25024_009,42705,1270,FALSE
2743252,"Minnetonka city, Minnesota",B25024_009,5611,423,FALSE
2751730,"Plymouth city, Minnesota",B25024_009,5172,567,FALSE
2754880,"Rochester city, Minnesota",B25024_009,5700,535,FALSE
2756896,"St. Cloud city, Minnesota",B25024_009,3844,533,FALSE
2758000,"St. Paul city, Minnesota",B25024_009,21509,1055,FALSE
2771428,"Woodbury city, Minnesota",B25024_009,2140,360,FALSE
